Date and Time: 2023-12-13 15:54:38.619476
Date and Time: 2023-12-13 16:03:24.891071
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 8, Date and Time: 2023-12-26 21:34:50
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 1, Date and Time: 2023-12-26 21:35:05
Winner: AARON KATARIA Loses!,HARRY MEHTA: 9,AARON KATARIA: -1, Date and Time: 2023-12-26 21:35:39
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 8, Date and Time: 2023-12-26 21:36:41
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 0, Date and Time: 2023-12-26 21:36:46
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 5, Date and Time: 2023-12-26 21:38:03
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 3, Date and Time: 2023-12-26 21:38:27
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 1, Date and Time: 2023-12-26 21:38:36
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 2, Date and Time: 2023-12-26 21:39:37
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 8, Date and Time: 2023-12-26 21:40:28
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 9, Date and Time: 2023-12-26 21:41:32
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 2, Date and Time: 2023-12-26 21:42:10
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 6, Date and Time: 2023-12-26 21:42:53
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 2, Date and Time: 2023-12-26 21:43:27
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 7, Date and Time: 2023-12-26 21:44:15
Winner: AARON KATARIA Loses!,HARRY MEHTA: 2,AARON KATARIA: -1, Date and Time: 2023-12-26 21:44:49
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 0, Date and Time: 2023-12-26 21:45:13
Winner: AARON KATARIA Loses!,HARRY MEHTA: 5,AARON KATARIA: -1, Date and Time: 2023-12-26 21:45:37
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 6, Date and Time: 2023-12-26 21:46:14
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 8, Date and Time: 2023-12-26 21:47:19
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 5, Date and Time: 2023-12-26 21:48:13
Winner: AARON KATARIA Loses!,HARRY MEHTA: 1,AARON KATARIA: -1, Date and Time: 2023-12-26 21:48:27
